,City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hong Kong,22.29,114.16,297.04,78,20,1.5,HK,1586997015
1,Ahipara,-35.17,173.17,291.28,77,29,8.45,NZ,1586997521
2,Busselton,-33.65,115.33,287.04,97,79,3.25,AU,1586997165
3,Rikitea,-23.12,-134.97,298.29,72,100,3.42,PF,1586997166
4,Sawākin,19.11,37.33,295.2,54,0,3.53,SD,1586997685
5,Punta Arenas,-53.15,-70.92,283.15,71,90,4.1,CL,1586997165
6,Barrow,71.29,-156.79,268.15,85,90,6.7,US,1586997363
7,Kapaa,22.08,-159.32,301.15,69,20,5.1,US,1586997184
8,Sovetsk,55.08,21.88,280.31,83,63,8.35,RU,1586997685
9,Vangaindrano,-23.35,47.6,295.38,92,24,1.85,MG,1586997686
10,Bredasdorp,-34.53,20.04,285.15,93,63,1.0,ZA,1586997182
11,Hamilton,39.18,-84.53,278.15,52,20,6.2,US,1586997597
12,Ushuaia,-54.8,-68.3,283.15,71,59,1.5,AR,1586997177
13,Nicoya,10.15,-85.45,304.15,52,75,5.1,CR,1586997687
14,Ratnagiri,16.98,73.3,298.65,86,33,0.76,IN,1586997687
15,Rabaul,-4.2,152.17,302.23,68,98,0.78,PG,1586997687
16,Albany,42.6,-73.97,279.82,33,20,3.1,US,1586996959
17,Tegul'det,57.31,88.17,276.57,79,73,4.25,RU,1586997606
18,Hobart,-42.88,147.33,289.26,59,40,6.7,AU,1586996925
19,Saint Paul Harbor,57.79,-152.41,284.15,71,75,7.2,US,1586997689
20,Tuatapere,-46.13,167.68,285.37,64,54,6.26,NZ,1586997629
21,Yellowknife,62.46,-114.35,272.59,68,40,4.1,CA,1586997468
22,San Cristobal,7.77,-72.22,294.76,54,42,0.47,VE,1586997613
23,Comodoro Rivadavia,-45.87,-67.5,287.15,76,88,5.65,AR,1586997689
24,Talnakh,69.49,88.4,261.15,55,0,4.0,RU,1586997142
25,Ponca City,36.71,-97.09,290.15,26,1,4.6,US,1586997690
26,Sørland,67.67,12.69,275.43,77,70,5.92,NO,1586997572
27,São Filipe,14.9,-24.5,295.65,76,61,5.96,CV,1586997510
28,Balkanabat,39.51,54.37,289.74,34,0,3.7,TM,1586997690
29,Aklavik,68.22,-135.01,279.15,56,75,2.6,CA,1586997158
30,Asău,46.43,26.4,281.15,52,6,0.5,RO,1586997691
31,Caravelas,-17.71,-39.25,298.86,85,68,3.36,BR,1586997365
32,Cabo San Lucas,22.89,-109.91,299.15,57,5,3.1,MX,1586997417
33,Mayo,38.89,-76.51,283.15,45,1,3.1,US,1586997660
34,That Phanom,16.94,104.71,301.48,83,75,1.0,TH,1586997692
35,Narsaq,60.92,-46.05,276.15,74,100,1.5,GL,1586997522
36,Bria,6.54,21.99,296.23,40,39,1.55,CF,1586997693
37,Cidreira,-30.18,-50.21,292.59,56,59,9.16,BR,1586997372
38,Nikolskoye,59.7,30.79,273.15,98,90,2.0,RU,1586997170
39,Ayan,56.45,138.17,276.77,72,47,3.77,RU,1586997187
40,Acapulco de Juárez,16.86,-99.89,300.15,78,20,3.1,MX,1586997477
41,Vaini,-21.2,-175.2,301.15,74,75,3.1,TO,1586997171
42,Atuona,-9.8,-139.03,301.2,75,54,5.18,PF,1586997173
43,Sept-Îles,50.2,-66.38,273.15,86,20,4.58,CA,1586997694
